data,covindex
2020-03-07,3.2116758185210577
2020-03-08,3.0156304906159637
2020-03-09,2.855344147724201
2020-03-10,2.713984501547085
2020-03-11,2.6032026839073685
2020-03-12,2.511439774104371
2020-03-13,2.4075070528639975
2020-03-14,2.2940605084486445
2020-03-15,2.173651258690187
2020-03-16,2.059651539883567
2020-03-17,1.9582856264924315
2020-03-18,1.8724530496695684
2020-03-19,1.7936571057698927
2020-03-20,1.7106680670622936
2020-03-21,1.6102880778246138
2020-03-22,1.506359480682531
2020-03-23,1.4091660235224837
2020-03-24,1.3217937819641021
2020-03-25,1.2457737852405273
2020-03-26,1.1761545044423576
2020-03-27,1.106441008192939
2020-03-28,1.0378018781235336
2020-03-29,0.9742079075223515
2020-03-30,0.9219103650878437
2020-03-31,0.8848386014235338
2020-04-01,0.8617395311154901
2020-04-02,0.8455454375394066
2020-04-03,0.8320425740752875
2020-04-04,0.8195759792510428
2020-04-05,0.8072579577988954
2020-04-06,0.7985351178511173
2020-04-07,0.7972433593837407
2020-04-08,0.805613113127014
2020-04-09,0.8196094763364199
2020-04-10,0.8318437929612713
2020-04-11,0.8390597731599441
2020-04-12,0.8402418130511012
2020-04-13,0.8376691818869441
2020-04-14,0.8358749156975495
2020-04-15,0.8372811376653906
2020-04-16,0.8417513407929629
2020-04-17,0.842377158672369
2020-04-18,0.8359007470148401
2020-04-19,0.8245322718955099
2020-04-20,0.8135436054269733
2020-04-21,0.8070192886135519
2020-04-22,0.8054985666694535
2020-04-23,0.8044310267173357
2020-04-24,0.8011427668498914
2020-04-25,0.7931446795890558
2020-04-26,0.7816352740093218
2020-04-27,0.7703419263304893
2020-04-28,0.7608511706243564
2020-04-29,0.752613730554441
2020-04-30,0.74357102522058
2020-05-01,0.7317556361493989
2020-05-02,0.7180187061279466
2020-05-03,0.7046359821720983
2020-05-04,0.6933896082148333
2020-05-05,0.6872743267072896
2020-05-06,0.6859631005026058
2020-05-07,0.6862200705093427
2020-05-08,0.6852376444456612
2020-05-09,0.6835065363387834
2020-05-10,0.6842935213753693
2020-05-11,0.6898738120053228
2020-05-12,0.6998487102320976
2020-05-13,0.7085378922138716
2020-05-14,0.7150131472991168
2020-05-15,0.7170369240272173
2020-05-16,0.7150525969027016
2020-05-17,0.7126366645647002
2020-05-18,0.7142085316872079
2020-05-19,0.7212251637355618
2020-05-20,0.7263619143548093
2020-05-21,0.7268384609858826
2020-05-22,0.7240354486533565
2020-05-23,0.7238472764874886
2020-05-24,0.7242069669879173
2020-05-25,0.7277467883156394
2020-05-26,0.7367835235054159
2020-05-27,0.7491927450040536
2020-05-28,0.7553167341523747
2020-05-29,0.7502153893670737
2020-05-30,0.7397487041507702
2020-05-31,0.7280548565123937
2020-06-01,0.7195091965220188
2020-06-02,0.7199929511422356
2020-06-03,0.727576748340955
2020-06-04,0.7373054549238991
2020-06-05,0.7463319879544825
2020-06-06,0.7477384130767093
2020-06-07,0.7542035923352481
2020-06-08,0.7722135508170234
2020-06-09,0.7976790519009933
2020-06-10,0.8301643045827216
2020-06-11,0.8687674039037621
2020-06-12,0.9014549830789287
2020-06-13,0.9339525934030094
2020-06-14,0.9592772677724437
2020-06-15,0.9722475838797459
2020-06-16,0.9836733100733215
2020-06-17,0.9922102553842481
2020-06-18,0.9903962136913378
2020-06-19,0.9810738201740881
2020-06-20,0.9650279698975592
2020-06-21,0.9409368157802945
2020-06-22,0.9159638358374852
2020-06-23,0.8869477038942245
2020-06-24,0.8678449464809292
2020-06-25,0.8527941579443314
2020-06-26,0.8383806253901963
2020-06-27,0.8204052546977293
2020-06-28,0.8082205162898572
2020-06-29,0.8069944860211951
2020-06-30,0.8191365878952392
2020-07-01,0.8446180796744556
2020-07-02,0.8774811273279564
2020-07-03,0.9104163911386781
2020-07-04,0.9339910273912023
2020-07-05,0.9545870429519059
2020-07-06,0.9804932674994173
2020-07-07,1.0099335251404375
2020-07-08,1.0417698864641043
2020-07-09,1.0682403618551002
2020-07-10,1.0778168362897054
2020-07-11,1.0649493380768535
2020-07-12,1.040906751882988
2020-07-13,1.0131352524919222
2020-07-14,0.9935333783271963
2020-07-15,0.9928173329863115
2020-07-16,1.0059182127379893
2020-07-17,1.0239680526470134
2020-07-18,1.0352163476000702
2020-07-19,1.041311029489557
2020-07-20,1.0497547948759622
2020-07-21,1.068840034363107
2020-07-22,1.0987700969754177
2020-07-23,1.1291596418627883
2020-07-24,1.148399108486847
2020-07-25,1.1494033992483355
2020-07-26,1.1379274277011462
2020-07-27,1.1276550439766515
2020-07-28,1.127865148758077
2020-07-29,1.1381651521070202
2020-07-30,1.147238022863364
2020-07-31,1.1435915071663958
2020-08-01,1.1257160816332146
2020-08-02,1.1146101552131147
2020-08-03,1.122025060468299
2020-08-04,1.1506904797020143
2020-08-05,1.1958605839755359
2020-08-06,1.239581675521435
2020-08-07,1.2685798566522826
2020-08-08,1.279022132363103
2020-08-09,1.287920935286018
2020-08-10,1.3036764020322338
2020-08-11,1.3324454734756017
2020-08-12,1.3608450129979779
2020-08-13,1.3742209352716737
2020-08-14,1.3622622459368399
2020-08-15,1.3294953748409744
2020-08-16,1.2982728376729242
2020-08-17,1.2880692648139616
2020-08-18,1.313726902043864
2020-08-19,1.3644577920044547
2020-08-20,1.4261315747418113
2020-08-21,1.47658432744034
2020-08-22,1.5122498412790293
2020-08-23,1.534684567099099
2020-08-24,1.5476111979680445
2020-08-25,1.559033718001285
2020-08-26,1.5674724158984876
2020-08-27,1.5507879001890013
2020-08-28,1.4967748517994606
2020-08-29,1.4145752136137175
