"data","rt"
2020-02-04,3.07267832398721
2020-02-05,2.49881427989679
2020-02-06,2.03173170573335
2020-02-07,1.66437989164717
2020-02-08,1.26377159563695
2020-02-09,1.02349014935066
2020-02-10,1.19720015742052
2020-02-11,1.15260098060016
2020-02-12,1.24467370771106
2020-02-13,1.33288143466829
2020-02-14,1.53876457079914
2020-02-15,2.13887118756126
2020-02-16,2.258562466625
2020-02-17,2.29857130401037
2020-02-18,2.48736915700993
2020-02-19,2.37259698595046
2020-02-20,2.9526990202536
2020-02-21,2.96422021759748
2020-02-22,2.82889968192515
2020-02-23,2.89497237244741
2020-02-24,2.94165263157787
2020-02-25,2.99211088078139
2020-02-26,2.85544642963866
2020-02-27,2.58613001260961
2020-02-28,2.58162003446887
2020-02-29,2.42197056567672
2020-03-01,2.6950312223479
2020-03-02,2.60132326453121
2020-03-03,2.48457877066529
2020-03-04,2.307721021234
2020-03-05,2.24665443086148
2020-03-06,2.16133999128135
2020-03-07,2.11624758970714
2020-03-08,1.96578131301201
2020-03-09,1.95009538845025
2020-03-10,2.03665941007212
2020-03-11,1.95434014040974
2020-03-12,1.86239188976937
2020-03-13,1.79231268844353
2020-03-14,1.68273026221544
2020-03-15,1.62473185540995
2020-03-16,1.52374910094183
2020-03-17,1.34603644243199
2020-03-18,1.28610517127121
2020-03-19,1.20380687451615
2020-03-20,1.18069321650486
2020-03-21,1.11390018464306
2020-03-22,1.01970537243812
2020-03-23,0.973329057943823
2020-03-24,0.934052537589482
2020-03-25,0.901257106629575
2020-03-26,0.874164887959299
2020-03-27,0.802282031122038
2020-03-28,0.795724265400089
2020-03-29,0.770210844387573
2020-03-30,0.765576316290613
2020-03-31,0.755280254906385
2020-04-01,0.786629274470294
2020-04-02,0.786884096564282
2020-04-03,0.779724423213862
2020-04-04,0.770324406099117
2020-04-05,0.77900369882446
2020-04-06,0.752657686491903
2020-04-07,0.763310125302556
2020-04-08,0.710941190890186
2020-04-09,0.711142295871956
2020-04-10,0.739806494828193
2020-04-11,0.736878734906813
2020-04-12,0.752524530033775
2020-04-13,0.741306026935388
2020-04-14,0.755251621890127
2020-04-15,0.78096084036641
2020-04-16,0.793207343035073
2020-04-17,0.756402535904059
2020-04-18,0.771103039331753
2020-04-19,0.754872632294464
2020-04-20,0.807886253793842
2020-04-21,0.78875359014983
2020-04-22,0.751976541093567
2020-04-23,0.740252890599902
2020-04-24,0.72057413667674
2020-04-25,0.711730637745635
2020-04-26,0.710488104549044
2020-04-27,0.665900381950021
2020-04-28,0.657816227577056
2020-04-29,0.642350154995631
2020-04-30,0.627810758302452
2020-05-01,0.626839823472906
2020-05-02,0.617972624813975
2020-05-03,0.618734349480478
2020-05-04,0.582982005383718
2020-05-05,0.587160158056921
2020-05-06,0.584981754091978
2020-05-07,0.585952195306842
2020-05-08,0.595347829990142
2020-05-09,0.593639376783394
2020-05-10,0.62176257317757
2020-05-11,0.63185112364876
2020-05-12,0.637562943793232
2020-05-13,0.646187123263903
2020-05-14,0.650351721379868
2020-05-15,0.646857658954309
2020-05-16,0.67451691880029
2020-05-17,0.665256043374946
2020-05-18,0.677201370887451
2020-05-19,0.664377127748858
2020-05-20,0.680318937493638
2020-05-21,0.681441592345231
2020-05-22,0.657640530910738
2020-05-23,0.655641525028314
2020-05-24,0.656821767409463
2020-05-25,0.648475519566902
2020-05-26,0.64665221486225
2020-05-27,0.637130328181873
2020-05-28,0.637150995497776
2020-05-29,0.642277440560311
2020-05-30,0.663524888033154
2020-05-31,0.68303557186117
2020-06-01,0.682713308461155
2020-06-02,0.639570812308778
2020-06-03,0.629161699973395
2020-06-04,0.639153263446378
2020-06-05,0.682048281762852
2020-06-06,0.695307352506913
2020-06-07,0.732836275520436
2020-06-08,0.746370040490269
2020-06-09,0.82694711215455
2020-06-10,0.834765378925945
2020-06-11,0.850756793163819
2020-06-12,0.844819647582191
2020-06-13,0.852844023332118
2020-06-14,0.878615340462059
2020-06-15,0.864539161492439
2020-06-16,0.864574506762936
2020-06-17,0.848436115765656
2020-06-18,0.847158230861658
2020-06-19,0.823718314042365
2020-06-20,0.826664021704117
2020-06-21,0.81918333556955
2020-06-22,0.799236262762071
2020-06-23,0.779656411384551
2020-06-24,0.811285025305734
2020-06-25,0.824097755647341
2020-06-26,0.852601235699472
2020-06-27,0.86858417599672
2020-06-28,0.868143010253081
2020-06-29,0.884147737260928
2020-06-30,0.887541516550553
2020-07-01,0.929836824217744
2020-07-02,0.943254229465545
2020-07-03,0.904605395224336
2020-07-04,0.903634599148343
2020-07-05,0.911918785836459
2020-07-06,0.924730751698478
2020-07-07,0.974843487663834
2020-07-08,0.942421957400654
2020-07-09,0.933620785261518
2020-07-10,0.994329139472517
2020-07-11,1.00760597358522
2020-07-12,1.01856754421853
2020-07-13,0.995355435876102
2020-07-14,0.989731595218393
2020-07-15,0.963563018097843
2020-07-16,0.954536012987353
2020-07-17,0.936966593490464
2020-07-18,0.938133742890496
2020-07-19,0.951266802319105
2020-07-20,0.98418542089585
2020-07-21,0.977750180646539
2020-07-22,0.991252308521719
2020-07-23,1.01157945777303
2020-07-24,1.01054350492932
2020-07-25,1.03573900502709
2020-07-26,0.996025539480216
2020-07-27,0.978715421260179
2020-07-28,0.975023400090624
2020-07-29,0.968367551786664
2020-07-30,0.947957798076231
2020-07-31,0.910084026468167
2020-08-01,0.91639542902791
2020-08-02,0.929070883843906
2020-08-03,0.926582834968394
2020-08-04,0.914314335698717
2020-08-05,0.932414570823686
2020-08-06,0.946397874388928
2020-08-07,0.961302073130158
